wavelength      radiance
19.96008       2.28304E+00
19.92032       2.12446E+00
19.88072       2.20220E+00
19.84127       2.37943E+00
19.80198       2.43120E+00
19.76285       2.29323E+00
19.72387       2.19285E+00
19.68504       2.37807E+00
19.64637       2.57002E+00
19.60784       2.56955E+00
19.56947       2.55111E+00
19.53125       2.62553E+00
19.49318       2.71334E+00
19.45525       2.69241E+00
19.41748       2.57819E+00
19.37984       2.38712E+00
19.34236       2.22251E+00
19.30502       2.25298E+00
19.26782       2.34254E+00
19.23077       2.44923E+00
19.19386       2.66861E+00
19.15709       2.82537E+00
19.12046       2.82990E+00
19.08397       2.74291E+00
19.04762       2.53508E+00
19.01141       2.40823E+00
18.97533       2.59433E+00
18.93939       2.82747E+00
18.90359       2.92698E+00
18.86792       2.99891E+00
18.83239       3.04278E+00
18.79699       3.04404E+00
18.76173       3.01997E+00
18.72659       2.98240E+00
18.69159       2.85129E+00
18.65672       2.70539E+00
18.62197       2.80376E+00
18.58736       3.02123E+00
18.55288       3.10696E+00
18.51852       3.01304E+00
18.48429       2.91488E+00
18.45018       3.00945E+00
18.41621       3.09476E+00
18.38235       2.93969E+00
18.34862       2.65882E+00
18.31502       2.56895E+00
18.28154       2.69272E+00
18.24817       2.84830E+00
18.21494       2.91858E+00
18.18182       2.92887E+00
18.14882       3.06493E+00
18.11594       3.20871E+00
18.08318       3.19817E+00
18.05054       3.07800E+00
18.01802       3.06104E+00
17.98561       3.19457E+00
17.95332       3.26768E+00
17.92115       3.32275E+00
17.88909       3.38451E+00
17.85714       3.39439E+00
17.82531       3.38541E+00
17.79359       3.26107E+00
17.76199       3.09958E+00
17.73050       3.16328E+00
17.69912       3.28578E+00
17.66784       3.14199E+00
17.63668       2.91505E+00
17.60563       2.83987E+00
17.57469       2.84259E+00
17.54386       2.96312E+00
17.51313       3.15063E+00
17.48252       3.28292E+00
17.45201       3.34722E+00
17.42160       3.29899E+00
17.39130       3.07205E+00
17.36111       2.88581E+00
17.33102       3.01801E+00
17.30104       3.21297E+00
17.27116       3.19471E+00
17.24138       2.97331E+00
17.21170       2.86234E+00
17.18213       3.07099E+00
17.15266       3.20855E+00
17.12329       3.10589E+00
17.09402       3.06154E+00
17.06485       3.15270E+00
17.03577       3.23263E+00
17.00680       3.04261E+00
16.97793       2.70085E+00
16.94915       2.67788E+00
16.92047       2.72147E+00
16.89189       2.70749E+00
16.86341       2.86094E+00
16.83502       2.87436E+00
16.80672       2.75554E+00
16.77852       2.64753E+00
16.75042       2.55013E+00
16.72241       2.68790E+00
16.69449       2.80401E+00
16.66667       2.73581E+00
16.63894       2.78319E+00
16.61130       2.82319E+00
16.58375       2.77311E+00
16.55629       2.76577E+00
16.52892       2.73229E+00
16.50165       2.71421E+00
16.47446       2.72198E+00
16.44737       2.68243E+00
16.42036       2.71013E+00
16.39344       2.73566E+00
16.36661       2.70149E+00
16.33987       2.69572E+00
16.31321       2.65956E+00
16.28665       2.63422E+00
16.26016       2.52782E+00
16.23377       2.24845E+00
16.20745       2.08617E+00
16.18123       2.17869E+00
16.15509       2.43482E+00
16.12903       2.63907E+00
16.10306       2.65530E+00
16.07717       2.64263E+00
16.05136       2.56516E+00
16.02564       2.40140E+00
16.00000       2.30242E+00
15.97444       2.23738E+00
15.94896       2.17635E+00
15.92357       2.13089E+00
15.89825       2.07820E+00
15.87302       2.03292E+00
15.84786       1.99867E+00
15.82278       1.96903E+00
15.79779       1.94477E+00
15.77287       1.92492E+00
15.74803       1.91368E+00
15.72327       1.90294E+00
15.69859       1.89216E+00
15.67398       1.88288E+00
15.64945       1.88369E+00
15.62500       1.89348E+00
15.60062       1.88516E+00
15.57632       1.88461E+00
15.55210       1.91206E+00
15.52795       1.91458E+00
15.50388       1.91409E+00
15.47988       1.95469E+00
15.45595       2.00205E+00
15.43210       2.12615E+00
